CLASSIFICATION,QF,RESOURCE_AGG_TYPE,PARENT_RESOURCE_ID,RESOURCE_ID,RESOURCE_TYPE,GEN_UNIT_NAME,NET_DEPENDABLE_CAPACITY,NAMEPLATE_CAPACITY,PTO_AREA,OWNER_OR_QF,UNIT_TYPE,ENERGY_SOURCE,ZONE,COD,RIVER_SYSTEM,BAA_ID,UDC
Participating Unit,N,N,,TEHAPI_2_WIND2,GEN,Wind Wall Monolith 2,21.24,22.5,SCE,"Tehachapi Wind Wall, LLC",WIND,WIND,SP15,2016-06-14,,CISO,SCE
Participating Unit,N,N,,VICTOR_1_SLRHES,GEN,Sunedison - Hesperia,1.5,1.5,SCE,"SunEdison Utility Solutions, LLC",PHOTO VOLTAIC,SUN,SP15,2014-08-08,,CISO,SCE
Participating Unit,N,N,,ULTPCH_1_UNIT 1,GEN,Pacific Ultrapower Chinese Station,18,25.3,PGAE,"Sierra Energy Storage, LLC",STEAM,BIOMASS,NP15,2017-03-01,,CISO,PGAE
Participating Unit,N,N,,KINGRV_7_UNIT 1,GEN,KINGS RIVER HYDRO UNIT 1,51.2,51.2,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1962-01-01,,CISO,PGAE
Participating Unit,N,N,,RCKCRK_7_UNIT 1,GEN,ROCK CREEK HYDRO UNIT 1,57,57,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1950-01-01,,CISO,PGAE
Non-Participating,N,Y,PNCHPP_1_PL1X2,PNCHPP_1_CTG1,GEN,STARWOOD POWER - MIDWAY UNIT 1,82.3,82.3,,"Starwood Power-Midway, LLC",COMBUSTION TURBINE,NATURAL GAS,NP15,,,CISO,
Non-Participating,N,Y,PIT5_7_PL1X2,PIT5_7_UNIT 2,GEN,Pit PH 5 Unit 2,41,41,,Pacific Gas & Electric Company,HYDRO,WATER,NP15,,,CISO,
Participating Unit,N,N,,MALIN_5_INHRED,TG,CSF Columbia Gorge,50,,PGAE,MALIN500,WIND,WIND,NP15,,,BPAT,PGAE
Participating Unit,N,N,,HMLTBR_6_UNITS,GEN,HAMILTON BRANCH PH (AGGREGATE),4.9,4.9,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1921-01-01,,CISO,PGAE
Participating Unit,N,N,,DRUM_7_UNIT 5,GEN,DRUM PH 2 UNIT 5,50,50,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1965-01-01,,CISO,PGAE
Participating Unit,N,N,,SUMWHT_6_SWSSR1,GEN,Summer Wheat Solar Farm,18.5,18.5,PGAE,"GASNA 6P, LLC",PHOTO VOLTAIC,SUN,NP15,2018-10-11,,CISO,PGAE
Non-Participating,N,Y,GENESI_2_STG,GENESI_2_STG2,GEN,Genesis McCoy Solar Project,140,140,,Southern California Edison Company,STEAM,SUN,SP15,,,CISO,
Non-Participating,N,Y,KELSO_2_UNITS,KELSO_3_GTG9,GEN,Mariposa Energy Project,49.4,49.4,,Pacific Gas & Electric Company,COMBUSTION TURBINE,NATURAL GAS,NP15,,,CISO,
Participating Unit,N,N,,WDLEAF_7_UNIT 1,GEN,WOODLEAF HYDRO,60,60,PGAE,South Feather Water and Power,HYDRO,WATER,NP15,1963-01-01,,CISO,PGAE
Participating Unit,Y,N,,UNCHEM_1_UNIT,GEN,CONTRA COSTA CARBON PLANT,19,20,PGAE,Phillips 66 Company,STEAM,COAL,NP15,1983-01-01,,CISO,PGAE
Participating Unit,N,N,,HATLOS_6_LSCRK,GEN,Lost Creek 1 & 2 Hydro Conversion,1.7,1.7,PGAE,"Snow Mountain Hydro, LLC.",HYDRO,WATER,NP15,1989-06-15,,CISO,PGAE
Participating Unit,Y,N,,DISCOV_1_CHEVRN,GEN,CHEVRON USA (EASTRIDGE),48.8,56.2,PGAE,Pacific Gas & Electric Company,COMBUSTION TURBINE,NATURAL GAS,ZP26,1988-06-13,,CISO,PGAE
Participating Unit,N,N,,TOADTW_6_UNIT,GEN,TOAD TOWN,1.5,1.5,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1986-01-01,,CISO,PGAE
Participating Unit,N,N,,COLGNS_2_CNSSR1,TG,ColGreen North Shore ,74.8,74.8,SCE,MIR2,PHOTO VOLTAIC,SUN,SP15,2018-12-31,,IID,SCE
Participating Unit,N,N,,ELCAJN_6_UNITA1,GEN,Cuyamaca Peak Energy Plant,45.42,48,SDGE,San Diego Gas & Electric,COMBUSTION TURBINE,NATURAL GAS,SP15,2002-05-29,,CISO,SDGE
Participating Unit,N,N,,RAMON_2_SCEDYN,TG,RAMON_2_SCEDYN,359.6,,SCE,MIR2,OTHER,GEOTHERMAL,SP15,,,IID,SCE
Non-Participating,N,Y,SUNSHN_2_LNDFL,SUNSHN_2_LNDFL1,GEN,SUNSHN_2_LNDFL1,4.6,4.6,,"Sunshine Gas Producers, L.L.C. Unit 1",COMBUSTION TURBINE,BIOGAS,SP15,,,CISO,
Participating Unit,Y,N,,VESTAL_6_QF,GEN,VESTAL QFS,12.3,20,SCE,Southern California Edison Company,HYDRO,WATER,SP15,1989-01-01,,CISO,SCE
Participating Unit,N,N,,MSTANG_2_SOLAR4,GEN,Mustang 4,30,30,PGAE,RE Mustang 4 LLC,PHOTO VOLTAIC,SUN,NP15,2016-06-09,,CISO,PGAE
Participating Unit,N,N,,7STDRD_1_SOLAR1,GEN,Shafter Solar,20,20,PGAE,"Shafter Solar, LLC",PHOTO VOLTAIC,SUN,ZP26,2015-06-04,,CISO,PGAE
Participating Unit,N,N,,PLAINV_6_DSOLAR,GEN,Western Antelope Dry Ranch ,10,10,SCE,Western Antelope Dry Ranch LLC,PHOTO VOLTAIC,SUN,SP15,2016-12-01,,CISO,SCE
Participating Unit,N,N,,DAIRLD_1_MD2BM1,GEN,Madera Digester Genset 2,0.8,0.8,PGAE,Madera Renewable Energy LLC,RECIPROCATING ENGINE,BIOGAS,NP15,2019-01-11,,CISO,PGAE
Non-Participating,N,Y,BIGCRK_2_EXESWD,BGCRK3_7_UNIT 1,GEN,BIG CREEK PH 3 UNIT 1,34,34,,Southern California Edison Company,HYDRO,WATER,SP15,,,CISO,
Non-Participating,,Y,ANTLPE_2_QF,DTCHWD_6_QF,GEN,DTCHWD_6_QF,14,14,,,,,SP15,,,CISO,
Non-Participating,,Y,VERNON_6_MALBRG,VERNON_7_STG3,GEN,VERNON_7_STG3,50,50,,,,,SP15,,,CISO,
Non-Participating,N,Y,DSRTSL_2_SOLAR1,DSRTSL_2_SOLR1A,GEN,DSRTSL_2_SOLR1A,148.1,148.1,,"Desert Stateline, LLC",PHOTO VOLTAIC,SUN,SP15,,,CISO,
Participating Unit,N,Y,HIDSRT_2_UNITS,HIDSRT_2_UNITS,GEN,HIGH DESERT POWER PROJECT AGGREGATE,830,,SCE,"High Desert Power Project, LLC",COMBINED CYCLE,NATURAL GAS,SP15,2003-04-21,,CISO,SCE
Participating Unit,Y,N,,BIOMAS_1_UNIT 1,GEN,WOODLAND BIOMASS,25.5,28.8,PGAE,"Woodland Biomass Power, Ltd.",STEAM,BIOMASS,NP15,1989-08-31,,CISO,PGAE
